order_id,order_date,customer_id,product_name,category,quantity,unit_price,payment_method
1001,2026-04-01,C001,Laptop,Electronics,1,850.0,Card
1002,2026-04-01,C002,Mouse,Electronics,2,25.0,UPI
1003,2026-04-02,C003,Desk Chair,Furniture,1,120.0,Card
1004,2026-04-02,C004,Notebook,Stationery,5,3.5,Cash
1005,2026-04-03,C005,Pen Pack,Stationery,3,4.0,UPI
1006,2026-04-03,C006,Monitor,Electronics,1,220.0,Card
1007,2026-04-04,C007,Desk,Furniture,1,180.0,Cash
1008,2026-04-04,C008,Keyboard,Electronics,2,45.0,UPI
1009,2026-04-05,C009,Water Bottle,Accessories,4,12.0,Cash
1010,2026-04-05,C010,Backpack,Accessories,1,40.0,Card
1011,2026-04-06,C011,Lamp,Furniture,2,35.0,UPI
1012,2026-04-06,C012,USB Cable,Electronics,3,10.0,Card
1013,2026-04-07,C013,Sticky Notes,Stationery,6,2.5,Cash
1014,2026-04-07,C014,Office Bag,Accessories,2,55.0,Card
1015,2026-04-08,C015,Tablet,Electronics,1,300.0,UPI
